Date,Close,Open,High,Low,Volume,Up&Down,Rate
2015-05-22,10650,10300,10650,10300,1846266,3.398058252,
2015-05-26,10600,10600,10700,10450,1344567,-0.469483568,
2015-05-27,10400,10550,10600,10350,2018244,-1.886792453,
2015-05-28,10400,10500,10550,10350,1540113,0,
2015-05-29,10500,10400,10550,10300,2860645,0.961538462,
2015-06-01,10400,10450,10500,10300,1500851,-0.952380952,
2015-06-02,10300,10350,10450,10300,1683167,-0.961538462,
2015-06-03,10350,10350,10550,10300,1351646,0.485436893,
2015-06-04,10150,10400,10400,10050,2637586,-1.93236715,
2015-06-05,9970,10100,10150,9900,2099048,-1.773399015,
2015-06-08,10050,9950,10150,9840,1641756,0.802407222,
2015-06-09,10100,10100,10150,10000,882351,0.497512438,
2015-06-10,10250,10150,10400,10100,3068123,1.485148515,
2015-06-11,10100,10300,10500,10100,4193940,-1.463414634,
2015-06-12,10050,10200,10300,10000,2685693,-0.495049505,
2015-06-15,9880,10050,10100,9870,2325359,-1.691542289,
2015-06-16,9630,9880,9890,9590,3628534,-2.530364372,
2015-06-17,9710,9660,9770,9630,1237341,0.830737279,
2015-06-18,9550,9730,9790,9540,2176581,-1.647785788,
2015-06-19,9540,9580,9640,9500,1761973,-0.104712042,
2015-06-22,9670,9540,9740,9540,1366149,1.362683438,
2015-06-23,10050,9780,10200,9730,3216257,3.929679421,
2015-06-24,10250,10050,10250,9940,2259251,1.990049751,
2015-06-25,10250,10200,10400,10100,2581036,0,
2015-06-26,10150,10300,10400,10100,2496519,-0.975609756,
2015-06-29,9730,9890,9900,9680,3905237,-4.137931034,
2015-06-30,9800,9690,9860,9680,2273188,0.71942446,
2015-07-01,9740,9780,9850,9700,2713221,-0.612244898,
2015-07-02,9690,9820,9820,9660,2388915,-0.513347023,
2015-07-03,9730,9680,9740,9600,1605348,0.412796698,
2015-07-06,9450,9570,9630,9430,2178097,-2.877697842,
2015-07-07,9520,9500,9520,9420,1556612,0.740740741,
2015-07-08,9460,9550,9610,9410,2120765,-0.630252101,
2015-07-09,9330,9430,9430,9260,2793024,-1.374207188,
2015-07-10,9310,9370,9380,9270,1355961,-0.214362272,
